lat,amenity,lon,name
30.5026258,place_of_worship,-97.6897579,Grace Lutheran Church
30.6374162,place_of_worship,-97.6788979,Cross and Crown Lutheran Church
30.5113106,place_of_worship,-97.6680624,Trinity Lutheran Church
30.5732549,place_of_worship,-97.4136106,Saint Paul Lutheran Church
30.6265834,place_of_worship,-97.6738976,Getzemani United Methodist Church
30.50742,place_of_worship,-97.8302891,Cedar Park United Methodist Church
30.6332498,place_of_worship,-97.674731,Saint Johns United Methodist Church
30.6467436,place_of_worship,-97.6748728,First United Pentecostal Church
30.5757548,place_of_worship,-97.4138884,Tenth Street United Methodist Church
30.5493645,place_of_worship,-97.6755632,Grace Temple Pentecostal Church of God
30.5351977,place_of_worship,-97.7413983,Round Rock Presbyterian Church
30.4954954,place_of_worship,-97.6590317,Grace Presbyterian Fellowship Church
30.5763102,place_of_worship,-97.4261111,Christ Fellowship Church
30.4963116,place_of_worship,-97.6316722,The Church Fellowship - Forest Creek
30.5015885,place_of_worship,-97.7011188,Crossroads Chapel Church
30.5778648,place_of_worship,-97.8562004,Leander Presbyterian Church
30.4873553,place_of_worship,-97.6832682,New Hope Community Church
30.569644,place_of_worship,-97.3974989,New Testament Holiness Community Church
30.5146436,place_of_worship,-97.685563,Round Rock Chapel Church
30.596029,place_of_worship,-97.6888976,Seventh Day Adventist Church
30.5115883,place_of_worship,-97.6777849,Saint Pauls African Methodist Episcopal Church
30.5193655,place_of_worship,-97.7013969,Saint Andrews Anglican Church
30.6407495,place_of_worship,-97.6719533,Harvest Assembly of God Church
30.5158463,place_of_worship,-97.8420713,Northview Community Church
30.5158463,place_of_worship,-97.8449294,Carriage Hills Baptist Church
30.4604161,place_of_worship,-97.8276013,Cypress Creek Baptist Church
30.5043667,place_of_worship,-97.6516729,Faith Community Baptist Church
30.5257541,place_of_worship,-97.7088972,Faith Missionary Baptist Church
30.6321386,place_of_worship,-97.6825091,First Baptist Church
30.2297496,school,-97.7559857,Saint Edwards University
30.6401938,place_of_worship,-97.6816758,Wesley Chapel AME Church
30.6335275,place_of_worship,-97.674731,Saint Johns Methodist Church
30.2781956,place_of_worship,-97.7393972,Diocese of Austin Chancery
30.6330864,place_of_worship,-97.6639728,Grace Episcopal Church
30.6329206,place_of_worship,-97.6736912,First Methodist Church
30.5167461,post_office,-97.6901899,Round Rock Post Office and William M Owen House
30.2746527,place_of_worship,-97.7447276,Central Christian Church
30.3059703,place_of_worship,-97.7316642,First Spiritualist Church
30.3695982,place_of_worship,-97.758297,First Presbyterian Church
30.2695101,place_of_worship,-97.6870621,Fontaine Memorial Baptist Church
30.2747128,place_of_worship,-97.7426335,First United Methodist Church of Austin
30.3027521,place_of_worship,-97.6600163,God's Power in Christian Fellowship
30.3073215,place_of_worship,-97.6539983,Gates of Deliverance Word Ministry
30.2598627,place_of_worship,-97.6992367,Govalle Iglesia Metodista Unida
30.3027522,place_of_worship,-97.6600163,God's Power Ministry
30.3675157,place_of_worship,-97.7202221,Grace of the Good Shepherd Church
30.4534418,place_of_worship,-97.804601,Grace Community Church
30.3076573,place_of_worship,-97.6796151,Grace Temple Church
30.2597646,place_of_worship,-97.7332029,Greater Peace Christian Church
